Ff_Number,So_Number,Order_Reference,Channel,Order_Created_Date,Warehouse,Planned_Date,Carrier,Sku,Sku_Name,Quantity
FF5178035,SO5750646,#5938352,Shopify UK,2026-06-19 01:15:04.220473+00:00,Stord (US),2026-06-19,Stord,WCR1893,Watermelon Deodorant Refill,1.0
FF5178082,SO5750692,#5938394,Shopify UK,2026-06-19 01:15:19.031817+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCRS1754,Queen of Heart's Cherry Tarts Sensitive Deo Refill,1.0
FF5178130,SO5750740,#5938416,Shopify UK,2026-06-19 01:15:34.163326+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCBWR2260,Body Wash Refill: Wildflower Bloom,1.0
FF5178137,SO5750746,#5938455,Shopify UK,2026-06-19 01:15:35.970167+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCRS1896,Watermelon sens. Deodorant Refill,1.0
FF5178143,SO5750753,#5938456,Shopify UK,2026-06-19 01:15:37.621710+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCRS1896,Watermelon sens. Deodorant Refill,1.0
FF5178170,SO5750777,#5938472,Shopify UK,2026-06-19 01:15:48.821177+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCRS1896,Watermelon sens. Deodorant Refill,1.0
FF5178178,SO5750788,#5938470,Shopify UK,2026-06-19 01:15:52.039648+00:00,Stord (US),2026-06-19,Stord,WCRS3206,Deo Refill: Black Rose and Velvet Sens,3.0
FF5178214,SO5750825,#5938525,Shopify UK,2026-06-19 01:16:12.877476+00:00,Airbox (EU),2026-06-19,Airbox,WCR251,Elderflower & Cucumber - initial_delivery,1.0
FF5178303,SO5750913,#5937349,Shopify UK,2026-06-19 01:26:33.725949+00:00,Stord (US),2026-06-19,Stord,WCC2331,Deo Case: Pastel Pink,1.0
FF5178658,SO5751268,US889643,Shopify USA,2026-06-19 03:17:41.344493+00:00,Stord (US),2026-06-19,Stord,WCR1105,Enchanted Forest Deo Refill,1.0
FF5178670,SO5751280,#5938574,Shopify UK,2026-06-19 03:24:18.300461+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCR1101,Autumn Leaves Deo Refill,1.0
FF5178670,SO5751280,#5938574,Shopify UK,2026-06-19 03:24:18.300461+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCR1751,Summer Breeze Deodorant Refill,1.0
FF5178675,SO5751285,AUS356970,Shopify AUS,2026-06-19 03:27:04.583102+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCBWR3278,Body Wash Refill: Peachy Kiss,1.0
FF5178675,SO5751285,AUS356970,Shopify AUS,2026-06-19 03:27:04.583102+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCLR1245,Lip Balm Refill: Vanilla Frost,1.0
FF5178675,SO5751285,AUS356970,Shopify AUS,2026-06-19 03:27:04.583102+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCLRSPF02,Coconut & Vanilla SPF Lip Balm Refill,5.0
FF5178675,SO5751285,AUS356970,Shopify AUS,2026-06-19 03:27:04.583102+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCR1687,Mad Hatter's Tea Party Deodorant Refill,1.0
FF5178723,SO5751333,#5938573,Shopify UK,2026-06-19 03:46:34.911693+00:00,Next (AU),2026-06-19,Next3PL,WCC2112,Forest Green Deo Case,1.0
FF5178887,SO5751496,AUS357040,Shopify AUS,2026-06-19 04:22:31.061128+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCBWR3278,Body Wash Refill: Peachy Kiss,1.0
FF5178887,SO5751496,AUS357040,Shopify AUS,2026-06-19 04:22:31.061128+00:00,UKAB (Airbox 18),2026-06-19,UKAB (Airbox 18),WCR2554,Deo Refill: Winter Breeze,1.0
FF5178960,SO5751570,2885711,Shopify EU,2026-06-19 04:26:01.194024+00:00,Airbox (EU),2026-06-19,Airbox,WCR1919,Vanilla Butterscotch Deo Refill,1.0
FF5178992,SO5751603,2885737,Shopify EU,2026-06-19 04:26:11.239121+00:00,Airbox (EU),2026-06-19,Airbox,WCR1919,Vanilla Butterscotch Deo Refill,1.0
FF5179061,SO5751672,2885805,Shopify EU,2026-06-19 04:26:35.847634+00:00,Airbox (EU),2026-06-19,Airbox,WCR1892,Strawberries & Cream (Chupa Chups) Deodorant Refill,1.0
FF5179061,SO5751672,2885805,Shopify EU,2026-06-19 04:26:35.847634+00:00,Airbox (EU),2026-06-19,Airbox,WCR1923,Coconut Cream Deo Refill,1.0
FF5179087,SO5751697,2885833,Shopify EU,2026-06-19 04:26:45.091790+00:00,Airbox (EU),2026-06-19,Airbox,WCHWR2512,Black Cherry Handwash,1.0
FF5179263,SO5751873,2886006,Shopify EU,2026-06-19 04:27:52.638974+00:00,Airbox (EU),2026-06-19,Airbox,WCHWR2512,Black Cherry Handwash,2.0
FF5179289,SO5751898,2886031,Shopify EU,2026-06-19 04:28:03.005346+00:00,Airbox (EU),2026-06-19,Airbox,WCR1919,Vanilla Butterscotch Deo Refill,1.0
FF5179341,SO5751951,2886074,Shopify EU,2026-06-19 04:28:21.795761+00:00,Airbox (EU),2026-06-19,Airbox,WCR03,Jasmine & Mandarin Blossom - initial_delivery,1.0
FF5179445,SO5752054,US889748,Shopify USA,2026-06-19 04:29:06.075312+00:00,Stord (US),2026-06-19,Stord,WCR1105,Enchanted Forest Deo Refill,1.0
FF5179644,SO5752254,US889955,Shopify USA,2026-06-19 04:30:16.216123+00:00,Stord (US),2026-06-19,Stord,WCR2554,Deo Refill: Winter Breeze,1.0
