product/rec_name,from_location/rec_name,to_location/rec_name,quantity,uom/rec_name,planned_date,effective_date,state,tpl_sku
[WCROA24] AP Roll On: Cotton & Seasalt,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROA608] Roll On AP: Amber & Oud,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCROA86] AP Roll On Refill: Sandalwood & Cedar,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR507] Thunderstorm - initial_delivery,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WMIN507] Thunderstorm Mini Deodorant,Airbox (EU) - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP573-US] US Fresh Cotton 40g Refill3Pck,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1093] Refill variety pack,FBA UK - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WCR348] Mint & Aloe Vera - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3773] Deo Case: Disney Princess,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC25] Black Deodorant Case,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR86] Cedar & Sandalwood - initial_delivery,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCR3777] Deo Refill: Island Paradise,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WCC3774] Deo Case: Disney Stitch,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[W_ENGRAVED_DEO] Personalised Case Deodorant,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WSRP1093-US] US Refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WSRP1092-US] US Aqua + refill variety pack,FBA USA - Storage Zone,Reserved Inventory,1.0,u,2026-07-06,,assigned,
[WMIN3207] Mini Deo: Cotton Cloud,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
[WMIN24] Fresh Cotton & Sea Salt Mini Deodorant,Stord - Storage Zone,Reserved Inventory,1.0,u,2026-06-18,,assigned,
